time,open,high,low,close,"AU07Y-NZ07Y, TVC: Open","AU07Y-NZ07Y, TVC: High","AU07Y-NZ07Y, TVC: Low","AU07Y-NZ07Y, TVC: Close","AU01Y-NZ01Y, TVC: Open","AU01Y-NZ01Y, TVC: High","AU01Y-NZ01Y, TVC: Low","AU01Y-NZ01Y, TVC: Close","AU05Y-NZ05Y, TVC: Open","AU05Y-NZ05Y, TVC: High","AU05Y-NZ05Y, TVC: Low","AU05Y-NZ05Y, TVC: Close","AU02Y-NZ02Y, TVC: Open","AU02Y-NZ02Y, TVC: High","AU02Y-NZ02Y, TVC: Low","AU02Y-NZ02Y, TVC: Close","AU10Y-NZ10Y, TVC: Open","AU10Y-NZ10Y, TVC: High","AU10Y-NZ10Y, TVC: Low","AU10Y-NZ10Y, TVC: Close",MA,Smoothing Line,Volume,Volume MA,Basic EPS,EPS estimates,Average basic shares outstanding,Diluted shares outstanding
1996-04-23T21:00:00Z,1.1563,1.1613,1.1487,1.1511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.137315999999999,1.1304792999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-24T21:00:00Z,1.1518,1.1562,1.1498,1.1548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.138075999999999,1.1312396999999934,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-25T21:00:00Z,1.1566,1.1597,1.15,1.1519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1388439999999989,1.1319961999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-28T21:00:00Z,1.1505,1.1533,1.1444,1.1468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.139669999999999,1.1327549999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-29T21:00:00Z,1.1459,1.1491,1.1433,1.1451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1403119999999989,1.1335128999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-30T21:00:00Z,1.1453,1.1544,1.1453,1.1537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.141069999999999,1.1342730999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-05-01T21:00:00Z,1.1523,1.1598,1.1523,1.156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1417859999999989,1.1350272999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-05-02T21:00:00Z,1.156,1.1618,1.1541,1.1578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.142559999999999,1.1357795999999936,NaN,NaN,NaN,NaN,NaN,NaN
1996-05-05T21:00:00Z,1.1632,1.1644,1.1576,1.1614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1433459999999989,1.1365295999999936,NaN,NaN,NaN,NaN,NaN,NaN
1996-05-06T21:00:00Z,1.164,1.164,1.158,1.1625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1440479999999988,1.1372778999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-05-07T21:00:00Z,1.1624,1.1716,1.1612,1.1663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.144645999999999,1.1380092999999936,NaN,NaN,NaN,NaN,NaN,NaN
1996-05-08T21:00:00Z,1.1661,1.1674,1.1583,1.1602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1451299999999989,1.1387021999999936,NaN,NaN,NaN,NaN,NaN,NaN
1996-05-09T21:00:00Z,1.1607,1.1668,1.159,1.1625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.145771999999999,1.1393810999999934,NaN,NaN,NaN,NaN,NaN,NaN
1996-05-12T21:00:00Z,1.1625,1.1668,1.159,1.1625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1464479999999988,1.1400450999999934,NaN,NaN,NaN,NaN,NaN,NaN
