asofdate,pnl,pointForecast,forecastday,product_name
2014-10-20 21:46:00+00:00,53.25,1874.7418101357227,5,SPY
2014-11-17 22:46:00+00:00,31.0,2037.645537798729,5,SPY
2014-11-24 22:46:00+00:00,12.0,2049.6021609202003,5,SPY
2014-12-02 22:46:00+00:00,19.0,2068.6259591533044,5,SPY
2014-12-09 22:46:00+00:00,5.0,2073.6982222956185,5,SPY
2015-01-01 22:46:00+00:00,70.5,2079.821906702494,5,SPY
2015-02-08 22:46:00+00:00,36.5,2018.0110471118533,5,SPY
2015-03-02 22:46:00+00:00,17.75,2114.886193544406,5,SPY
2015-03-30 21:46:00+00:00,18.75,2085.9934837334067,5,SPY
2015-04-14 21:46:00+00:00,15.25,2076.995018361967,5,SPY
2015-04-21 21:46:00+00:00,23.75,2100.912538798374,5,SPY
2015-05-05 21:46:00+00:00,-1.25,2099.9807655412988,5,SPY
2015-05-12 21:46:00+00:00,24.75,2075.129934764039,5,SPY
2015-05-27 21:46:00+00:00,28.0,2123.575088277872,5,SPY
2015-06-17 21:46:00+00:00,10.25,2109.940093995874,5,SPY
2015-06-24 21:46:00+00:00,5.5,2115.416810898766,5,SPY
2015-07-09 21:46:00+00:00,25.25,2069.16076670302,5,SPY
2015-07-16 21:46:00+00:00,-0.25,2069.445298732159,5,SPY
2015-07-23 21:46:00+00:00,49.75,2119.4300368797453,5,SPY
2015-08-13 21:46:00+00:00,25.0,2076.967810651432,5,SPY
2015-09-13 21:46:00+00:00,68.0,1921.413021879193,5,SPY
2015-10-04 21:46:00+00:00,91.0,1871.5818126050424,5,SPY
2015-11-30 22:46:00+00:00,36.25,2084.266286631624,5,SPY
2015-12-07 22:46:00+00:00,15.75,2100.279467321957,5,SPY
2016-01-06 22:46:00+00:00,18.5,2054.104308957988,5,SPY
2016-01-21 22:46:00+00:00,18.5,1914.923977634997,5,SPY
2016-01-28 22:46:00+00:00,15.25,1898.6052582884531,5,SPY
2016-02-11 22:46:00+00:00,54.75,1874.4274443872573,5,SPY
2016-02-21 22:46:00+00:00,17.0,1857.3969476449631,5,SPY
2016-03-06 22:46:00+00:00,6.75,1928.657853432093,5,SPY
2016-04-04 21:46:00+00:00,4.75,2047.8350221409744,5,SPY
2016-04-18 21:46:00+00:00,17.0,2057.562711874995,5,SPY
2016-04-25 21:46:00+00:00,38.0,2092.4810558066088,5,SPY
2016-05-16 21:46:00+00:00,20.5,2080.6723325380035,5,SPY
2016-05-31 21:46:00+00:00,31.5,2074.9740047718656,5,SPY
2016-06-07 21:46:00+00:00,23.0,2097.9833863833906,5,SPY
2016-06-14 21:46:00+00:00,20.0,2118.1831067519825,5,SPY
2016-06-28 21:46:00+00:00,13.25,2076.589539929088,5,SPY
2016-07-20 21:46:00+00:00,65.25,2157.530659714267,5,SPY
2016-08-03 21:46:00+00:00,6.75,2165.0282081091773,5,SPY
2016-08-17 21:46:00+00:00,22.5,2182.167615991767,5,SPY
2016-08-24 21:46:00+00:00,1.75,2183.9444665559704,5,SPY
2016-09-22 21:46:00+00:00,16.5,2133.1508865015217,5,SPY
2016-09-29 21:46:00+00:00,25.5,2159.013293276138,5,SPY
