,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name
230,2020-07-17 13:30:00+00:00,-1229.4469370873107,-1208.270362562242,-1220.9259222346304,0.013196341420686599,0.0004243444656633686,5,True,252,1800,2,0,0 days 00:00:01.227962,DAX
231,2020-07-24 13:30:00+00:00,-1228.4712060579777,-1207.294631532909,-1219.9501912052974,0.013313603293706752,0.0004260097511808155,5,True,252,1800,2,0,0 days 00:00:00.654441,DAX
232,2020-07-31 13:30:00+00:00,-1226.9716427213307,-1205.795068196262,-1218.4506278686504,0.013412540416877753,0.0004285617945128438,5,True,252,1800,2,0,0 days 00:00:00.652169,DAX
233,2020-08-07 13:30:00+00:00,-1227.036071281455,-1205.8594967563863,-1218.5150564287746,0.013305676059265588,0.0004286215905273917,5,True,252,1800,2,0,0 days 00:00:00.681002,DAX
234,2020-08-14 13:30:00+00:00,-1228.8756428340917,-1207.699068309023,-1220.3546279814113,0.01317930109304317,0.00042532264437820596,5,True,252,1800,2,0,0 days 00:00:00.595163,DAX
235,2020-08-21 13:30:00+00:00,-1231.4951710296286,-1210.31859650456,-1222.9741561769483,0.0130899825686293,0.0004209539580816177,5,True,252,1800,2,0,0 days 00:00:00.669672,DAX
236,2020-08-28 13:30:00+00:00,-1231.4705614839534,-1210.2939869588847,-1222.949546631273,0.012984685568269053,0.0004209414843356113,5,True,252,1800,2,0,0 days 00:00:00.688266,DAX
237,2020-09-04 13:30:00+00:00,-1228.644143817647,-1207.4675692925784,-1220.1231289649668,0.013254340548499414,0.0004257705528053046,5,True,252,1800,2,0,0 days 00:00:00.772838,DAX
238,2020-09-14 13:30:00+00:00,-1229.3222189445833,-1208.1456444195146,-1220.801204091903,0.013078172879487959,0.00042451884255046834,5,True,252,1800,2,0,0 days 00:00:00.742431,DAX
239,2020-09-21 13:30:00+00:00,-1224.1130576128567,-1202.936483087788,-1215.5920427601764,0.013273150031989716,0.00043337420445340705,5,True,252,1800,2,0,0 days 00:00:00.767507,DAX
240,2020-09-28 13:30:00+00:00,-1222.2926291088097,-1201.116054583741,-1213.7716142561294,0.013393138176816363,0.00043659513958250264,5,True,252,1800,2,0,0 days 00:00:00.785416,DAX
241,2020-10-05 13:30:00+00:00,-1221.7611147221246,-1200.584540197056,-1213.2400998694443,0.013422608781527533,0.00043786657201482843,5,True,252,1800,2,0,0 days 00:00:00.825243,DAX
242,2020-10-12 13:30:00+00:00,-1223.8201457102236,-1202.643571185155,-1215.2991308575433,0.013396340753724891,0.0004339804542523376,5,True,252,1800,2,0,0 days 00:00:00.685025,DAX
243,2020-10-19 13:30:00+00:00,-1223.1855739806938,-1202.0089994556251,-1214.6645591280135,0.013411134661509984,0.0004350259489844341,5,True,252,1800,2,0,0 days 00:00:00.772161,DAX
244,2020-10-26 13:30:00+00:00,-1218.4934866975846,-1197.316912172516,-1209.9724718449042,0.013540633240569162,0.00044319645705192504,5,True,252,1800,2,0,0 days 00:00:00.763188,DAX
