,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.resid,ma.L1.resid
68,2006-01-22 23:00:00+00:00,-1304.0154213008823,-1289.8977049508367,-1298.3347447324288,0.01386668425356098,0.0003209223339686841,5,True,252,2000,1,1,0 days 00:00:00.189903,CL1,0.06915772572922357,0.08284702553510596
69,2006-01-29 23:00:00+00:00,-1302.3807166414213,-1288.2630002913756,-1296.7000400729678,0.013941084799372656,0.00032303157533414956,5,True,252,2000,1,1,0 days 00:00:00.157761,CL1,0.07416446728159036,0.08712855069384141
70,2006-02-05 23:00:00+00:00,-1303.6256653710452,-1289.5079490209996,-1297.9449888025918,0.013896826257972145,0.0003214122599526221,5,True,252,2000,1,1,0 days 00:00:00.187547,CL1,0.07636781979051875,0.08887968792436536
71,2006-02-12 23:00:00+00:00,-1306.0515355739608,-1291.9338192239152,-1300.3708590055073,0.01384142852380505,0.00031832148167027776,5,True,252,2000,1,1,0 days 00:00:00.153962,CL1,0.06797886129219256,0.07924823864007619
72,2006-02-20 23:00:00+00:00,-1296.0590497492335,-1281.941333399188,-1290.37837318078,0.01417771695495907,0.0003312652596008695,5,True,252,2000,1,1,0 days 00:00:00.286498,CL1,0.021077609658479275,0.010534309984381407
73,2006-02-27 23:00:00+00:00,-1294.429960046888,-1280.3122436968424,-1288.7492834784346,0.0142101903673854,0.00033333287401843265,5,True,252,2000,1,1,0 days 00:00:00.161961,CL1,0.08187858328864887,0.09501821096561851
74,2006-03-06 23:00:00+00:00,-1290.5663257993424,-1276.4486094492968,-1284.885649230889,0.014432936684248913,0.00033849297424492754,5,True,252,2000,1,1,0 days 00:00:00.187044,CL1,0.08442396087676689,0.09744131159765272
75,2006-03-13 23:00:00+00:00,-1285.488103025984,-1271.3703866759383,-1279.8074264575305,0.014602805672113967,0.0003454002586945318,5,True,252,2000,1,1,0 days 00:00:00.180960,CL1,0.0733969513874031,0.08478595022755127
76,2006-03-20 23:00:00+00:00,-1277.8731767717827,-1263.755460421737,-1272.1925002033292,0.014831225288065748,0.00035603255784417,5,True,252,2000,1,1,0 days 00:00:00.215287,CL1,0.08294917816771989,0.09423927010661753
77,2006-03-27 23:00:00+00:00,-1283.130468027232,-1269.0127516771863,-1277.4497914587785,0.014688881999173202,0.00034865480196073333,5,True,252,2000,1,1,0 days 00:00:00.190779,CL1,0.09826168815266817,0.11159714152555221
78,2006-04-03 22:00:00+00:00,-1285.353089871167,-1271.2353735211213,-1279.6724133027135,0.014597009175009076,0.0003455992557529508,5,True,252,2000,1,1,0 days 00:00:00.221244,CL1,0.10601850868734558,0.12135864845654153
79,2006-04-10 22:00:00+00:00,-1290.0884185220534,-1275.9707021720078,-1284.4077419536,0.01449450061443605,0.00033936765198210836,5,True,252,2000,1,1,0 days 00:00:00.244965,CL1,0.020328128826983708,0.011644977111122126
80,2006-04-18 22:00:00+00:00,-1289.4453455405396,-1275.327629190494,-1283.7646689720862,0.01447912434578984,0.0003400538944697224,5,True,252,2000,1,1,0 days 00:00:00.182380,CL1,0.19827480756649485,0.2248035242957134
81,2006-04-25 22:00:00+00:00,-1293.5571923214302,-1279.4394759713846,-1287.8765157529767,0.014389376470870607,0.0003347156979713735,5,True,252,2000,1,1,0 days 00:00:00.345374,CL1,0.02010950427289374,0.010889700176894689
82,2006-05-02 22:00:00+00:00,-1297.9080692140042,-1283.7903528639586,-1292.2273926455507,0.014427971172367207,0.0003288067481442549,5,True,252,2000,1,1,0 days 00:00:00.176778,CL1,0.3129194741328847,0.28689309644762795
83,2006-05-09 22:00:00+00:00,-1298.5073893002937,-1284.389672950248,-1292.8267127318402,0.014367788612116888,0.00032801942102461256,5,True,252,2000,1,1,0 days 00:00:00.212531,CL1,0.45439835607642876,0.4175093440953037
84,2006-05-16 22:00:00+00:00,-1299.9642146868646,-1285.846498336819,-1294.2835381184111,0.014359950017851132,0.00032611933308837615,5,True,252,2000,1,1,0 days 00:00:00.142002,CL1,0.282053319700942,0.25878341596509696
85,2006-05-23 22:00:00+00:00,-1299.2740934029944,-1285.1563770529488,-1293.593416834541,0.01438093697784091,0.00032722043203168747,5,True,252,2000,1,1,0 days 00:00:00.218000,CL1,0.02194138014651368,0.011598253312084696
