,asofdate,aic,bic,hqic,mae,mse,rsquare,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close,ar.L2.close,ma.L1.close,ma.L2.close
65,2002-08-02 13:00:00+00:00,-1506.7712965655255,-1485.5947220404569,-1498.2502817128452,0.009069081262841778,0.00014125674882633208,0.9613331447210406,5,True,252,500,2,2,0 days 00:00:02.025511,palm_oil,0.008587479527068662,0.011990856351103262,0.030872046109548665,0.02923589964478294
66,2002-08-09 13:00:00+00:00,-1504.5392148120477,-1483.362640286979,-1496.0181999593674,0.009186524470733612,0.0001426190355326937,0.9638612561695634,5,True,252,500,2,2,0 days 00:00:01.442411,palm_oil,0.008784876410483611,0.012234221713714096,0.026113218542155252,0.02535028501254995
67,2002-08-19 13:00:00+00:00,-1506.9797070225973,-1485.8031324975286,-1498.458692169917,0.009100609906232963,0.00014123858790235377,0.957139668980067,5,True,252,500,2,2,0 days 00:00:00.997054,palm_oil,0.0074175250694530764,0.0029368665830184692,0.027287522885211538,0.02463552615544338
68,2002-08-26 13:00:00+00:00,-1501.8740639617781,-1480.6974894367095,-1493.3530491090978,0.009178921948872367,0.0001440409088892956,0.9713672153694102,5,True,252,500,2,2,0 days 00:00:00.918458,palm_oil,,,,
69,2002-09-02 13:00:00+00:00,-1499.6483362485505,-1478.471761723482,-1491.1273213958702,0.009223195018493929,0.00014540102430806552,0.985584507346369,5,True,252,500,2,2,0 days 00:00:00.719678,palm_oil,0.01592855925137257,0.007437223033745562,0.013166910918870126,
70,2002-09-09 13:00:00+00:00,-1500.617881098567,-1479.4413065734984,-1492.0968662458868,0.00920686976769136,0.00014481109029949312,0.9732677756822777,5,True,252,500,2,2,0 days 00:00:00.849346,palm_oil,0.18468444675649542,0.16091528284792067,0.21815943634171528,0.1783785968229742
71,2002-09-16 13:00:00+00:00,-1503.0312170358652,-1481.8546425107966,-1494.510202183185,0.009125676430987453,0.0001434242448464817,0.9570883530268964,5,True,252,500,2,2,0 days 00:00:00.491672,palm_oil,0.1571927656079226,0.13882786557897395,0.186190116460941,0.161487776426437
72,2002-09-23 13:00:00+00:00,-1495.44472728541,-1474.2681527603413,-1486.9237124327296,0.00915423018390483,0.0001477125342623949,0.9413204984918496,5,True,252,500,2,2,0 days 00:00:00.536543,palm_oil,0.11128364334224747,0.10355694238715973,0.14605343130239268,0.11863520131690844
73,2002-09-30 13:00:00+00:00,-1491.5804954894784,-1470.4039209644097,-1483.059480636798,0.009257833630019804,0.00014996856167580588,0.9446817420375092,5,True,252,500,2,2,0 days 00:00:00.552678,palm_oil,0.12517834621987062,0.12676378813427844,0.15186189054074292,0.14859023467980245
74,2002-10-07 13:00:00+00:00,-1462.234109482867,-1441.0575349577985,-1453.7130946301868,0.009596615475528618,0.00016853953726649713,0.9506275784427055,5,True,252,500,2,2,0 days 00:00:00.647523,palm_oil,0.20560498376801184,0.17483839324489667,0.2300522150136607,0.20514898724939462
75,2002-10-14 13:00:00+00:00,-1441.8277635765758,-1420.6511890515071,-1433.3067487238955,0.009997794160280935,0.00018282837833427066,0.9362263058534818,5,True,252,500,2,2,0 days 00:00:00.521141,palm_oil,0.3293057174123319,0.23661119924081636,0.3610205495384872,0.30292327812530107
76,2002-10-21 13:00:00+00:00,-1431.5051647531964,-1410.3285902281277,-1422.984149900516,0.010218168083579742,0.00019042606935001067,0.9352381454110886,5,True,252,500,2,2,0 days 00:00:00.530545,palm_oil,0.4228538253560567,0.3002810310243996,0.48041915552357706,0.41050146631997586
77,2002-10-28 13:00:00+00:00,-1426.9794678778062,-1405.8028933527376,-1418.458453025126,0.01029777722231276,0.0001944769105162886,0.9322754678458851,5,True,252,500,2,2,0 days 00:00:00.767575,palm_oil,0.2961307122203641,0.19502108807944876,0.34137131401385573,0.27701990785564273
78,2002-11-05 13:00:00+00:00,-1410.5753859717347,-1389.398811446666,-1402.0543711190544,0.010579531796339671,0.00020688370020656427,0.9221865256415296,5,True,252,500,2,2,0 days 00:00:00.596497,palm_oil,0.14803775714962022,0.13282187987986122,0.1720786028787403,0.1646583449575687
79,2002-11-12 13:00:00+00:00,-1401.938357119427,-1380.7617825943585,-1393.4173422667468,0.010775471435110814,0.00021414195973863985,0.9405230901356086,5,True,252,500,2,2,0 days 00:00:00.323001,palm_oil,0.266890078629975,0.24512260254103566,0.291272866778404,0.29695387650230554
80,2002-11-19 13:00:00+00:00,-1400.0415905223854,-1378.8650159973167,-1391.520575669705,0.010829832280067156,0.00021569316141834726,0.9406136423368795,5,True,252,500,2,2,0 days 00:00:00.618096,palm_oil,0.280720812304168,0.21474934661892076,0.3130874284992826,0.27458318888199257
81,2002-11-26 13:00:00+00:00,-1398.6654451087743,-1377.4888705837056,-1390.144430256094,0.010872328859453802,0.00021699531725957142,0.9414702008895203,5,True,252,500,2,2,0 days 00:00:00.953559,palm_oil,0.29500092141752765,0.2213112316240419,0.32876660128678237,0.28483552994647154
82,2002-12-03 13:00:00+00:00,-1397.359676298689,-1376.1831017736204,-1388.8386614460087,0.010941421259448483,0.00021799755611012138,0.9397284657180219,5,True,252,500,2,2,0 days 00:00:00.505785,palm_oil,0.3034531521530656,0.24534927796593384,0.3300969111170111,0.29701887353027034
83,2002-12-12 13:00:00+00:00,-1393.1447810409504,-1371.9682065158818,-1384.62376618827,0.011109104658261594,0.0002216959493920458,0.9446214571959689,5,True,252,500,2,2,0 days 00:00:00.476985,palm_oil,0.32139668816108613,0.24479351840984254,0.35281761810714135,0.30130466052353033
84,2002-12-19 13:00:00+00:00,-1386.7418375884017,-1365.565263063333,-1378.2208227357214,0.011270130938946363,0.00022738557097653857,0.9432134754893214,5,True,252,500,2,2,0 days 00:00:00.376711,palm_oil,0.366269148823753,0.3147958788341198,0.3945086783477987,0.37707919434932563
85,2002-12-30 13:00:00+00:00,-1386.2190021065107,-1365.042427581442,-1377.6979872538304,0.011305002651287898,0.00022787129016137704,0.9429005197821282,5,True,252,500,2,2,0 days 00:00:00.518859,palm_oil,0.40402482236321596,0.33214395500911076,0.4381702197489991,0.40614984736135784
