Date,asofdate,pointForecast,Close,forecastday,product_name,MA_50,MA_diff_50
2020-04-07 00:00:00-04:00,2020-04-08 00:00:00-04:00,13.882432485094641,13.770000457763672,2,SOYB,14.369399967193603,-0.02319999694824304
2020-04-08 00:00:00-04:00,2020-04-09 00:00:00-04:00,13.881949363042585,13.859999656677246,3,SOYB,14.347599964141846,-0.02180000305175689
2020-04-09 00:00:00-04:00,2020-04-13 00:00:00-04:00,13.881993774991273,14.0,4,SOYB,14.32959997177124,-0.017999992370606677
2020-04-13 00:00:00-04:00,2020-04-14 00:00:00-04:00,13.881989692264744,13.899999618530272,5,SOYB,14.314199962615966,-0.015400009155273509
2020-04-14 00:00:00-04:00,2020-04-15 00:00:00-04:00,13.823994137421696,13.829999923706056,1,SOYB,14.299199962615967,-0.014999999999998792
2020-04-15 00:00:00-04:00,2020-04-16 00:00:00-04:00,13.821974399427285,13.789999961853027,2,SOYB,14.282799968719482,-0.016399993896484943
2020-04-16 00:00:00-04:00,2020-04-17 00:00:00-04:00,13.822195595516352,13.720000267028809,3,SOYB,14.26299997329712,-0.019799995422362215
2020-04-17 00:00:00-04:00,2020-04-20 00:00:00-04:00,13.822171368987085,13.649999618530272,4,SOYB,14.241599960327148,-0.021400012969971627
2020-04-20 00:00:00-04:00,2020-04-21 00:00:00-04:00,13.82217402237975,13.520000457763672,5,SOYB,14.216799964904785,-0.024799995422362997
2020-04-21 00:00:00-04:00,2020-04-22 00:00:00-04:00,13.491880596517245,13.5,1,SOYB,14.192199974060058,-0.024599990844727415
2020-04-22 00:00:00-04:00,2020-04-23 00:00:00-04:00,13.492013370748614,13.630000114440918,2,SOYB,14.169599971771241,-0.022600002288816867
2020-04-23 00:00:00-04:00,2020-04-24 00:00:00-04:00,13.491991021331927,13.609999656677246,3,SOYB,14.147199974060058,-0.02239999771118306
2020-04-24 00:00:00-04:00,2020-04-27 00:00:00-04:00,13.491994783312192,13.4399995803833,4,SOYB,14.11959997177124,-0.02760000228881765
2020-04-27 00:00:00-04:00,2020-04-28 00:00:00-04:00,13.491994150073879,13.449999809265137,5,SOYB,14.090999965667725,-0.028600006103514986
2020-04-28 00:00:00-04:00,2020-04-29 00:00:00-04:00,13.337471590508008,13.34000015258789,1,SOYB,14.061199970245362,-0.02979999542236378
2020-04-29 00:00:00-04:00,2020-04-30 00:00:00-04:00,13.331876202465137,13.539999961853027,2,SOYB,14.036599960327148,-0.024600009918213317
2020-04-30 00:00:00-04:00,2020-05-01 00:00:00-04:00,13.33328623228682,13.770000457763672,3,SOYB,14.015999965667724,-0.02059999465942397
2020-05-01 00:00:00-04:00,2020-05-04 00:00:00-04:00,13.332930836956018,13.739999771118164,4,SOYB,13.995599956512452,-0.020400009155272514
2020-05-04 00:00:00-04:00,2020-05-05 00:00:00-04:00,13.33302040923651,13.520000457763672,5,SOYB,13.971599960327149,-0.02399999618530302
