,as_of_date,PnL
10543,2015-10-01 08:15:00+00:00,0
10544,2015-10-02 08:15:00+00:00,0
10545,2015-10-05 08:15:00+00:00,0
10546,2015-10-06 08:15:00+00:00,0
10547,2015-10-07 08:15:00+00:00,0
10548,2015-10-08 08:15:00+00:00,0
10549,2015-10-09 08:15:00+00:00,0
10550,2015-10-12 08:15:00+00:00,0
10551,2015-10-13 08:15:00+00:00,0
10552,2015-10-14 08:15:00+00:00,0
10553,2015-10-15 08:15:00+00:00,0
10554,2015-10-16 08:15:00+00:00,0
10555,2015-10-19 08:15:00+00:00,0
10556,2015-10-20 08:15:00+00:00,0
10557,2015-10-21 08:15:00+00:00,0
10558,2015-10-22 08:15:00+00:00,0
10559,2015-10-23 08:15:00+00:00,0
10560,2015-10-26 08:15:00+00:00,0
10561,2015-10-27 08:15:00+00:00,0
10562,2015-10-28 08:15:00+00:00,0
10563,2015-10-29 08:15:00+00:00,0
10564,2015-10-30 08:15:00+00:00,0
10565,2015-11-02 09:15:00+00:00,0
10566,2015-11-03 09:15:00+00:00,0
10567,2015-11-04 09:15:00+00:00,0
10568,2015-11-05 09:15:00+00:00,0
10569,2015-11-06 09:15:00+00:00,0
10570,2015-11-09 09:15:00+00:00,0
10571,2015-11-10 09:15:00+00:00,0
10572,2015-11-11 09:15:00+00:00,0
10573,2015-11-12 09:15:00+00:00,0
10574,2015-11-13 09:15:00+00:00,0
10575,2015-11-16 09:15:00+00:00,0
10576,2015-11-17 09:15:00+00:00,0
10577,2015-11-18 09:15:00+00:00,0
10578,2015-11-19 09:15:00+00:00,0
10579,2015-11-20 09:15:00+00:00,0
10580,2015-11-23 09:15:00+00:00,0
10581,2015-11-24 09:15:00+00:00,0
10582,2015-11-25 09:15:00+00:00,0
10583,2015-11-27 09:15:00+00:00,0
10584,2015-11-30 09:15:00+00:00,0
10585,2015-12-01 09:15:00+00:00,0
10586,2015-12-02 09:15:00+00:00,0
10587,2015-12-03 09:15:00+00:00,0
10588,2015-12-04 09:15:00+00:00,0
10589,2015-12-07 09:15:00+00:00,0
10590,2015-12-08 09:15:00+00:00,0
10591,2015-12-09 09:15:00+00:00,0
10592,2015-12-10 09:15:00+00:00,0
10593,2015-12-11 09:15:00+00:00,0
10594,2015-12-14 09:15:00+00:00,0
10595,2015-12-15 09:15:00+00:00,0
10596,2015-12-16 09:15:00+00:00,0
10597,2015-12-17 09:15:00+00:00,0
10598,2015-12-18 09:15:00+00:00,0
10599,2015-12-21 09:15:00+00:00,0
10600,2015-12-22 09:15:00+00:00,0
10601,2015-12-23 09:15:00+00:00,0
10602,2015-12-24 09:15:00+00:00,0
10603,2015-12-28 09:15:00+00:00,0
10604,2015-12-29 09:15:00+00:00,0
10605,2015-12-30 09:15:00+00:00,0
10606,2015-12-31 09:15:00+00:00,0
10607,2016-01-04 09:15:00+00:00,0
10608,2016-01-05 09:15:00+00:00,0
10609,2016-01-06 09:15:00+00:00,0
10610,2016-01-07 09:15:00+00:00,0
10611,2016-01-08 09:15:00+00:00,0
10612,2016-01-11 09:15:00+00:00,0
10613,2016-01-12 09:15:00+00:00,0
10614,2016-01-13 09:15:00+00:00,0
10615,2016-01-14 09:15:00+00:00,0
10616,2016-01-15 09:15:00+00:00,0
10617,2016-01-19 09:15:00+00:00,0
10618,2016-01-20 09:15:00+00:00,0
10619,2016-01-21 09:15:00+00:00,0
10620,2016-01-22 09:15:00+00:00,0
10621,2016-01-25 09:15:00+00:00,0
10622,2016-01-26 09:15:00+00:00,0
10623,2016-01-27 09:15:00+00:00,0
10624,2016-01-28 09:15:00+00:00,0
10625,2016-01-29 09:15:00+00:00,0
10626,2016-02-01 09:15:00+00:00,0
10627,2016-02-02 09:15:00+00:00,0
10628,2016-02-03 09:15:00+00:00,0
10629,2016-02-04 09:15:00+00:00,0
10630,2016-02-05 09:15:00+00:00,0
10631,2016-02-08 09:15:00+00:00,0
10632,2016-02-09 09:15:00+00:00,0
10633,2016-02-10 09:15:00+00:00,0
10634,2016-02-11 09:15:00+00:00,0
10635,2016-02-12 09:15:00+00:00,0
10636,2016-02-16 09:15:00+00:00,0
10637,2016-02-17 09:15:00+00:00,0
10638,2016-02-18 09:15:00+00:00,0
10639,2016-02-19 09:15:00+00:00,0
10640,2016-02-22 09:15:00+00:00,0
10641,2016-02-23 09:15:00+00:00,0
10642,2016-02-24 09:15:00+00:00,0
10643,2016-02-25 09:15:00+00:00,0
10644,2016-02-26 09:15:00+00:00,0
10645,2016-02-29 09:15:00+00:00,0
10646,2016-03-01 09:15:00+00:00,0
10647,2016-03-02 09:15:00+00:00,0
10648,2016-03-03 09:15:00+00:00,0
10649,2016-03-04 09:15:00+00:00,0
10650,2016-03-07 09:15:00+00:00,0
10651,2016-03-08 09:15:00+00:00,0
10652,2016-03-09 09:15:00+00:00,0
10653,2016-03-10 09:15:00+00:00,0
10654,2016-03-11 09:15:00+00:00,0
10655,2016-03-14 08:15:00+00:00,0
10656,2016-03-15 08:15:00+00:00,0
10657,2016-03-16 08:15:00+00:00,0
10658,2016-03-17 08:15:00+00:00,0
10659,2016-03-18 08:15:00+00:00,0
10660,2016-03-21 08:15:00+00:00,0
10661,2016-03-22 08:15:00+00:00,0
10662,2016-03-23 08:15:00+00:00,0
10663,2016-03-24 08:15:00+00:00,0
10664,2016-03-28 08:15:00+00:00,0
10665,2016-03-29 08:15:00+00:00,0
10666,2016-03-30 08:15:00+00:00,0
10667,2016-03-31 08:15:00+00:00,0
10668,2016-04-01 08:15:00+00:00,0
10669,2016-04-04 08:15:00+00:00,0
10670,2016-04-05 08:15:00+00:00,0
10671,2016-04-06 08:15:00+00:00,0
10672,2016-04-07 08:15:00+00:00,0
10673,2016-04-08 08:15:00+00:00,0
10674,2016-04-11 08:15:00+00:00,0
10675,2016-04-12 08:15:00+00:00,0
10676,2016-04-13 08:15:00+00:00,0
10677,2016-04-14 08:15:00+00:00,0
10678,2016-04-15 08:15:00+00:00,0
10679,2016-04-18 08:15:00+00:00,0
10680,2016-04-19 08:15:00+00:00,0
10681,2016-04-20 08:15:00+00:00,0
10682,2016-04-21 08:15:00+00:00,0
10683,2016-04-22 08:15:00+00:00,0
10684,2016-04-25 08:15:00+00:00,0
10685,2016-04-26 08:15:00+00:00,0
10686,2016-04-27 08:15:00+00:00,0
10687,2016-04-28 08:15:00+00:00,0
10688,2016-04-29 08:15:00+00:00,0
10689,2016-05-02 08:15:00+00:00,0
10690,2016-05-03 08:15:00+00:00,0
10691,2016-05-04 08:15:00+00:00,0
10692,2016-05-05 08:15:00+00:00,0
10693,2016-05-06 08:15:00+00:00,0
10694,2016-05-09 08:15:00+00:00,0
10695,2016-05-10 08:15:00+00:00,0
10696,2016-05-11 08:15:00+00:00,0
10697,2016-05-12 08:15:00+00:00,0
10698,2016-05-13 08:15:00+00:00,0
10699,2016-05-16 08:15:00+00:00,0
10700,2016-05-17 08:15:00+00:00,0
10701,2016-05-18 08:15:00+00:00,0
10702,2016-05-19 08:15:00+00:00,0
10703,2016-05-20 08:15:00+00:00,0
10704,2016-05-23 08:15:00+00:00,0
10705,2016-05-24 08:15:00+00:00,0
10706,2016-05-25 08:15:00+00:00,0
10707,2016-05-26 08:15:00+00:00,0
10708,2016-05-27 08:15:00+00:00,0
10709,2016-05-31 08:15:00+00:00,0
10710,2016-06-01 08:15:00+00:00,0
10711,2016-06-02 08:15:00+00:00,0
10712,2016-06-03 08:15:00+00:00,0
10713,2016-06-06 08:15:00+00:00,0
10714,2016-06-07 08:15:00+00:00,0
10715,2016-06-08 08:15:00+00:00,0
10716,2016-06-09 08:15:00+00:00,0
10717,2016-06-10 08:15:00+00:00,0
10718,2016-06-13 08:15:00+00:00,0
10719,2016-06-14 08:15:00+00:00,0
10720,2016-06-15 08:15:00+00:00,0
10721,2016-06-16 08:15:00+00:00,0
10722,2016-06-17 08:15:00+00:00,0
10723,2016-06-20 08:15:00+00:00,0
10724,2016-06-21 08:15:00+00:00,0
10725,2016-06-22 08:15:00+00:00,0
10726,2016-06-23 08:15:00+00:00,0
10727,2016-06-24 08:15:00+00:00,0
10728,2016-06-27 08:15:00+00:00,0
10729,2016-06-28 08:15:00+00:00,0
10730,2016-06-29 08:15:00+00:00,0
10731,2016-06-30 08:15:00+00:00,0
10732,2016-07-01 08:15:00+00:00,0
10733,2016-07-05 08:15:00+00:00,0
10734,2016-07-06 08:15:00+00:00,0
10735,2016-07-07 08:15:00+00:00,0
10736,2016-07-08 08:15:00+00:00,0
10737,2016-07-11 08:15:00+00:00,0
10738,2016-07-12 08:15:00+00:00,0
10739,2016-07-13 08:15:00+00:00,0
10740,2016-07-14 08:15:00+00:00,0
10741,2016-07-15 08:15:00+00:00,0
10742,2016-07-18 08:15:00+00:00,0
10743,2016-07-19 08:15:00+00:00,0
10744,2016-07-20 08:15:00+00:00,0
10745,2016-07-21 08:15:00+00:00,0
10746,2016-07-22 08:15:00+00:00,0
10747,2016-07-25 08:15:00+00:00,0
10748,2016-07-26 08:15:00+00:00,0
10749,2016-07-27 08:15:00+00:00,0
10750,2016-07-28 08:15:00+00:00,0
10751,2016-07-29 08:15:00+00:00,0
10752,2016-08-01 08:15:00+00:00,0
10753,2016-08-02 08:15:00+00:00,0
10754,2016-08-03 08:15:00+00:00,0
10755,2016-08-04 08:15:00+00:00,0
10756,2016-08-05 08:15:00+00:00,0
10757,2016-08-08 08:15:00+00:00,0
10758,2016-08-09 08:15:00+00:00,0
10759,2016-08-10 08:15:00+00:00,0
10760,2016-08-11 08:15:00+00:00,0
10761,2016-08-12 08:15:00+00:00,0
10762,2016-08-15 08:15:00+00:00,0
10763,2016-08-16 08:15:00+00:00,0
10764,2016-08-17 08:15:00+00:00,0
10765,2016-08-18 08:15:00+00:00,0
10766,2016-08-19 08:15:00+00:00,0
10767,2016-08-22 08:15:00+00:00,0
10768,2016-08-23 08:15:00+00:00,0
10769,2016-08-24 08:15:00+00:00,0
10770,2016-08-25 08:15:00+00:00,0
10771,2016-08-26 08:15:00+00:00,0
10772,2016-08-29 08:15:00+00:00,0
10773,2016-08-30 08:15:00+00:00,0
10774,2016-08-31 08:15:00+00:00,0
10775,2016-09-01 08:15:00+00:00,0
10776,2016-09-02 08:15:00+00:00,0
10777,2016-09-06 08:15:00+00:00,0
10778,2016-09-07 08:15:00+00:00,0
10779,2016-09-08 08:15:00+00:00,0
10780,2016-09-09 08:15:00+00:00,0
10781,2016-09-12 08:15:00+00:00,0
10782,2016-09-13 08:15:00+00:00,0
10783,2016-09-14 08:15:00+00:00,0
10784,2016-09-15 08:15:00+00:00,0
10785,2016-09-16 08:15:00+00:00,0
10786,2016-09-19 08:15:00+00:00,0
10787,2016-09-20 08:15:00+00:00,0
10788,2016-09-21 08:15:00+00:00,0
10789,2016-09-22 08:15:00+00:00,0
10790,2016-09-23 08:15:00+00:00,0
10791,2016-09-26 08:15:00+00:00,0
10792,2016-09-27 08:15:00+00:00,0
10793,2016-09-28 08:15:00+00:00,0
10794,2016-09-29 08:15:00+00:00,0
10795,2016-09-30 08:15:00+00:00,0
10796,2016-10-03 08:15:00+00:00,0
10797,2016-10-04 08:15:00+00:00,0
10798,2016-10-05 08:15:00+00:00,0
10799,2016-10-06 08:15:00+00:00,0
10800,2016-10-07 08:15:00+00:00,0
